Starting Error Log for today 10/06/24 11:06:07
New() >> Init done - 10/06/24 11:06:07
New() >> Init done - 10/06/24 11:08:32
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000067; tagTime: 6/11/2024 9:08:59 AM - 11/06/24 09:08:59
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000100; tagTime: 6/11/2024 9:08:59 AM - 11/06/24 09:08:59
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000078; tagTime: 6/11/2024 9:08:59 AM - 11/06/24 09:08:59
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000034; tagTime: 6/11/2024 9:08:59 AM - 11/06/24 09:08:59
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000082; tagTime: 6/11/2024 9:08:59 AM - 11/06/24 09:08:59
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000083; tagTime: 6/11/2024 9:08:59 AM - 11/06/24 09:08:59
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000034; tagTime: 6/11/2024 9:08:59 AM - 11/06/24 09:08:59
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000078; tagTime: 6/11/2024 9:08:59 AM - 11/06/24 09:08:59
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000083; tagTime: 6/11/2024 9:08:59 AM - 11/06/24 09:08:59
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000034; tagTime: 6/11/2024 9:08:59 AM - 11/06/24 09:08:59
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000043; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 11/06/24 09:09:03
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000099; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 11/06/24 09:09:03
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000100; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 11/06/24 09:09:03
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000082; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 11/06/24 09:09:03
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000080; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 11/06/24 09:09:03
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000083; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 11/06/24 09:09:03
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000060; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 11/06/24 09:09:03
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000078; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 11/06/24 09:09:03
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000067; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 11/06/24 09:09:03
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000058; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 11/06/24 09:09:03
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: E28011502000147353521801; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 11/06/24 09:09:03
StartUpdateDBTower() >> pTRAN_TYPE: IN; pRFID: B32306040000000000000034; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 11/06/24 09:09:03
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: E28011502000147353521801; tagTime: 6/11/2024 9:15:00 AM - 11/06/24 09:15:01
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000078; tagTime: 6/11/2024 9:15:05 AM - 11/06/24 09:15:05
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000042; tagTime: 6/11/2024 9:15:06 AM - 11/06/24 09:15:06
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000034; tagTime: 6/11/2024 9:15:06 AM - 11/06/24 09:15:06
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000078; tagTime: 6/11/2024 9:15:06 AM - 11/06/24 09:15:06
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000042; tagTime: 6/11/2024 9:15:06 AM - 11/06/24 09:15:06
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000078; tagTime: 6/11/2024 9:15:06 AM - 11/06/24 09:15:06
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000043; tagTime: 6/11/2024 9:15:06 AM - 11/06/24 09:15:06
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000042; tagTime: 6/11/2024 9:15:06 AM - 11/06/24 09:15:06
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000043; tagTime: 6/11/2024 9:15:06 AM - 11/06/24 09:15:06
