Starting Error Log for today 05/07/24 03:57:03
New() >> Init done - 05/07/24 03:57:03
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000842; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:01:17
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:01:18
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:01:18
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000842; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:04:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000843; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:04:15
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:04:15
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000844; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:04:15
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000843; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:04:29
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000842; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:04:30
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:04:30
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000842; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:04:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:04:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000844; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:04:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000842; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:09:01
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:09:01
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:09:01
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000842; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:09:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:09:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:09:14
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000842; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:09:29
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:09:29
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:14:10
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 10:14:11
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 03:40:31
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 03:40:35
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 03:46:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 03:46:08
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000080; tagTime: 7/25/2024 7:50:56 AM - 25/07/24 07:50:57
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 25/07/24 03:27:12
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 25/07/24 03:27:17
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 25/07/24 03:27:47
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 25/07/24 03:31:12
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 25/07/24 03:31:12
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 25/07/24 03:32:00
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000021; tagTime: 7/26/2024 10:48:19 AM - 26/07/24 10:48:19
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32306040000000000000085; tagTime: 7/26/2024 11:30:55 AM - 26/07/24 11:30:55
