Starting Error Log for today 10/12/24 08:47:06
New() >> Init done - 10/12/24 08:47:06
New() >> Init done - 10/12/24 08:47:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:04:54
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:04:54
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001166; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:04:54
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000400700000442; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:04:54
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000978; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:04:54
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:06:46
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000428; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:06:46
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:06:46
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001166; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:06:46
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000400700000442; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:06:47
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B2201C102E1A81A06D1530C3; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:06:47
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:07:23
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000428; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:07:23
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:07:23
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:07:24
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001166; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:07:24
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000400700000442; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:07:24
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:38:58
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:38:59
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000978; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:38:59
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001166; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:38:59
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000400700000442; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:38:59
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:39:29
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000710; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:39:29
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:39:29
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:39:29
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001166; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:39:29
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000978; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:39:29
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001170; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:40:16
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:40:16
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:40:16
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000400700000442; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:40:17
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001173; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:40:17
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:40:17
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001166; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:40:17
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000978; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 18/02/25 09:40:17
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/02/25 09:00:51
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/02/25 09:01:20
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/02/25 09:20:22
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/02/25 09:20:23
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000978; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/02/25 09:20:23
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001166; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/02/25 09:20:23
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000923; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 25/02/25 11:58:42
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 25/02/25 11:58:43
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 25/02/25 11:58:43
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/02/25 01:17:56
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000292; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/02/25 01:20:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/02/25 01:34:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000292; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/02/25 01:38:36
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000292; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/02/25 01:48:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000222; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/02/25 01:48:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/02/25 01:48:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000292; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/02/25 01:49:30
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/02/25 01:59:08
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/02/25 01:59:08
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000978; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/02/25 01:59:08
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001166; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/02/25 01:59:08
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 10/03/25 12:39:00
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001103; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:47:13
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001122; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:47:14
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000978; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:47:14
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000400700000442; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:47:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:47:29
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:48:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:48:17
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001058; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:48:17
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000875; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:49:18
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:49:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000875; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:50:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:50:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000935; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:50:06
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000875; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:50:30
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:50:30
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000875; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:50:58
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:50:58
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000935; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:50:58
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000875; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:58:45
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 03:58:45
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 04:25:24
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 12/03/25 04:26:35
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001103; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 13/03/25 09:16:32
