Starting Error Log for today 24/06/25 05:30:04
New() >> Init done - 24/06/25 05:30:04
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 30/06/25 04:30:48
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:05:34
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000962; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:05:34
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000473; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:05:56
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001058; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:05:56
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:05:57
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000962; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:05:57
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000473; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:06:37
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:06:37
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000962; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:06:37
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000473; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:12:01
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:12:02
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000962; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:12:02
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000473; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:13:17
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000934; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:13:17
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:13:17
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000935; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:13:17
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000962; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:13:17
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000991; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:13:17
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000473; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:13:35
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000867; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 24/07/25 11:13:35
